CountryCode,Summary
"AZE
","Azerbaijan is a country covering 86,600 km2 (33,400 sq mi) in the Caucasus region of Eurasia.As observed on the physical map of Azerbaijan, the country his highly mountainous. The Caucasus Mountains cover the north and central regions of the country. Here, many snow-capped peaks exceed 12,000 ft.The highest point in the country, Baza-Dyuzi at 14,698 ft. (4,480m) is also located here and has been marked on the map above by a yellow triangle.Moving southwest, the Lesser Caucasus cross the land, stretching on into Armenia, and in the far-south, the Talish Mountains help form its border with Iran.A low flood plain covers the south-central and east, ending at the Caspian Sea; much of it below sea level. Baku, the capital city, sits on the Abseron Yasaqligi (or Apsheron Peninsula), which juts hook-line into the Caspian SeaSignificant rivers include the Alazani, Aras and Kura, and the Mangachevir Reservoir is the largest inland body of water.
"
"BHS
","Covering an area of 13,878 sq. km, The Bahamas (all coral in origin) occupies larger part of Lucayan Archipelago and comprises a group of nearly 700 (atolls) ring-like coral islands, and (cays) small, low islands composed largely of coral or sand. The islands were mostly created by the disintegration of coral reefs and seashells, and low scrub covers much of their surfaces. As observed on the map, the highest point is located on Cat Island, where limestone rock rises to 63m (206ft) above sea level. There are a handful of small freshwater lakes and just one small river located on Andros Island.
"
"BHR
","Bahrain is an archipelagic nation with a total territory of around 780 sq. km in thePersian Gulf. The main island of Al Bahrayn accounts for about 78% of the country's territory. Many important petroleum fields of the Middle East surround this island. 33 additional islands are also part of the country.As observed on the physical map of Bahrain above, nearly 92% of Bahrain is a desert with low-lying rocky and sandy plains. Coastal salt marshes are common in the central and southern reaches, and there are no significant rivers or lakes. The Persian Gulf is the lowest point of the country (0 m) and extensive coral reefs cover the northern part of the island.Within the interior of Bahrain, there sits an escarpment named Jabal ad Dukham, and it is the highest point of the country, reaching 400 ft. (122 m). Its position has been marked on the map by a yellow upright triangle.In addition to the various smaller islands within the archipelago, the remaining islands of Bahrain include Umm as Sabaan, Nabih Saleh, and Jidda Island. Freshwater springs and date palm groves dot the landscape of Nabih Saleh, while Jidda's rocky terrain plays host to a state prison converted into a holiday resort. The remaining uninhabited islands serve as nesting sites for migratory birds.
"
"BGD
","Bangladesh occupies an area of  148,460 sq. km in South Asia.As observed on the physical map of the country above, it is mostly a low-lying country. The geography can be divided into three regions. The highly fertile Ganga-Brahmaputra delta dominates the landscape of Bangladesh. The Barind and Madhupur plateaus define the central and northwestern parts of the country while hills occur to the northeast and southeast.Bangladesh is often referred to as a nation of rivers. It is in essence a large delta comprised of three significant rivers; the Ganges, Brahmaputra and Meghna. The map above exhibits the courses these rivers take in the country. Subsequently, Bangladesh is also one of the most flood-prone countries in the world. When the spring snows melt in the Himalayan Mountains the rivers often overflow running south to the sea.The highest point in Bangladesh, Keokradong, peaks at 4,035 ft. (1,230 m), while the lowest point of the country is the Indian Ocean (0 m).
"
"BRB
","Barbados, the easternmost island in the Caribbean Sea, is relatively flat and less mountainous, in comparison to its more-mountainous island neighbours to the west. It has an area of 439 sq. km (169 sq mi).As observed on the physical map of Barbados above, the island is roughly triangular in shape. In the western half, the land rises gently from coastal lowlands into the rolling hills.Beyond those hills in the central highland region stands the island’s highest point – Mount Hillaby, at an elevation on 1,120ft (340m) above sea level (as marked on the map by a yellow upright triangle).In the eastern third of Barbados, the landscape rises sharply into low hills that shadow the coastline. In the southern part of the island, the highlands decline steeply to the St. George’s Valley, where the land rises to form Christ Church Ridge between the sea and the valley. Barbados is drained by a few small rivers and all rise in the hilly areas of the central and north. Rainfall also irrigates Barbados through a series of small streams. Offshore, much of the country is circled by coral reefs.
"
"BLR
","A landlocked country in Eastern Europe, Belarus occupues an area of 207,595 sq. km (80,153 sq mi). As observed on the physical map of Belarus, it is a relatively low-lying country. It can be divided into two main parts: the Poltsk Lowland (north) and the Dnieper Lowland (south).Belarus is a heavily forested, flat, low-lying country that includes the Poltsk Lowland (north) and the Dnieper Lowland (south). A few areas of rolling hills in the west blend into the lowlands. The extensive Pripyat marshes cover the southern reaches of the country. The country's highest point, the Dzerzhinsky Hill, stands at 1,135 ft. (346m). Its lowest point is on the Neman River at 90 metres (295 ft) And as for rivers, the Dnieper is the most significant. Others of importance include the Dvinar, Neman and Pripyat. Many streams and over 10,000 small lakes are scattered about.
"
"BEL
","Belgium is a Western European country occupying an area of 30,689 km2 (11,849 sq mi).As can be observed on the physical map of Belgium there are three main geographical regions to Belgium: the coastal plain to the northwest, the central plateau, and the Ardennes uplands to the southeast. A small area called the Paris Basin is used to refer to the southernmost tip of the country.The coastal area is a series of sandy beaches and polders, backed by protecting dunes. Inland, up to the Meuse River, the land is generally flat, with numerous canals and dikes protecting the land from the sea. It's crisscrossed by many small tributaries of the Schelde River. Valleys, caves and small gorges can also be found in this area.East of the Meuse, forested hilly conditions rise to the rugged and flat-topped mountains of the Ardennes Region. The highest point is the Botrange, at 2,276 ft. (694m). A yellow triangle marks the position of this point on the map.All rivers and streams of Belgium drain into the North Sea except for the Oise River that empties into the English Channel. The Scheldt, Meuse, and Yser are the three major rivers of the country. The country also has several lakes like Lake Genval, Lake Gileppe, Lake Eupen, Lake Robertville, etc.
"
"BLZ
","Belize, a country with an area of 22,966 sq. km (8,867 sq mi), is divided into four main geographic regions, including the relatively low Maya Mountains of the south that dominate all but the narrow coastal plain; the northern limestone lowlands and its many rivers and streams; the flat and swampy coastal plain, and the almost countless cayes, islands and lagoons that fringe it’s Caribbean coastline.As observed on the physical map of Belize above, the Caribbean country is dissected by a network of rivers, mostly small in length. The largest and the most significant river is the navigable Belize River that stretches from the Guatemala border all the way to the Caribbean Sea.More than 50% of the land in Belize is covered by tropical rainforest.Located in Southern Maya Mountains at an elevation of 1124 m (3687 ft) is Belize’s highest point - Doyle's Delight. Previously, it was thought that Victoria Peak (as marked on the map by a yellow upright triangle), located in the north of Cockscomb basin was the highest point at an elevation of 1120m (3675ft).Second only in size to the Great Barrier Reef, off the northeast coastline of Australia, a 175 mile long Belize Barrier Reef fronts the Belize coastline, intermixed with literally hundreds of small islands and cayes. 58 miles direct east of Belize City sits the Blue Hole (marked on the map above), which is more than 1000ft across and some 400ft deep. It is the opening to a former Ice Age cave, and is today one of the world’s most popular dive sites.
"
"BEN
","Benin is a country in West Africa that encompasses an area of 112,622 sq. km. It has a coastline of 121 km on the Atlantic Ocean to the south.There is not much variation in elevation in Benin with the average elevation being 200m. The landscape transitions from a narrow and somewhat sandy coastal area to a marshy land with lagoons that rise into the La Terre de Barre Plateau. The wooded savannah of the plateau continues on into the foothills of the Atakora Mountains of the northwest, a branch of the Togo Mountains.Benin's highest point is Mt. Sokbaro, which rises 658 m. It has been marked on the map by a yellow upright triangle. The lowest point of the country is the Atlantic Ocean at 0 m.From the mountainous northwest, the land slopes down into a broad plain and on to the Niger River valley of the far northeast. The Niger and Ouémé are the country's major rivers.
"
"BTN
","The Kingdom of Bhutan covers an area of 38,394 sq. km at the eastern limits of the Himalayas. The length of the country is only slightly larger than the width giving it a compact shape.As observed on the physical map of Bhutan above, the country is highly mountainous. Here several peaks of the Himalayas reach as high 7,000 m along the country's northern border with China. The tallest point in the country (as marked on the map by a yellow upright triangle) is the Kula Kangri. However, there is a lot of dispute regarding the location of this peak as some authorities claim it is part of Tibet. Instead, the 7,570 metres (24,840 ft) tall Gangkhar Puensum is often regarded as Bhutan's tallest peak. The latter is the world's tallest unclimbed mountain.The central parts of Bhutan feature the mountains of the lesser or the lower Himalayas.Along its southern border with India, the Himalayan foothills and associated lowland areas are found. Large parts here are forested.The lowest point in Bhutan at 97 m (318 ft) above sea level is located in the Drangme Chhu river system.The lowest point is located in the Drangme Chhu, a river system in central and eastern Bhutan, at 97 m (318 ft) above sea level.Numerous small rivers drain the land, including the Dangme, Mangde, Sankosh and Torsa.
"
"BOL
","Bolivia is a landlocked nation located in west-central South America. Covering an area of 1,098,581 sq.km (424,164 sq mi), Bolivia is the 5th largest country in South America and the largest landlocked nation in the Southern Hemisphere.As observed on the physical map of Bolivia above, the country's western half is covered by the Andes - as three meandering high mountain chains dominate the landscape. The Cordillera Occidental (in the west) is a long line of mostly bleak, dormant volcanoes; the Cordillera Central stands in the middle, while the (eastern) Cordillera Oriental is a massive snow-capped series of stunning granite mountains.The Altiplano (a high plateau) is sandwiched between the Cordilleras. Once just deep valleys (or rifts) between the three mountain ranges, over eons of time it filled with sedimentary debris washed down from the surrounding peaks. The eastern slopes of the Cordillera Oriental descend gently into rolling hills; numerous rivers flow eastward here, forming long valleys.The highest point in Bolivia, as marked on the map as a yellow upright triangle is Nevado Sajama at 21,463ft (6,542m); while the lowest point is Paraguay River at 230ft (70m). Northeast of La Paz, the landscape descends into fertile semi tropical valleys, drained by narrow rivers. The southeast is covered by semi-arid plains that turn swampy during heavy rains.Bolivia's Altiplano contains several salt flats, the dried remnants of ancient lakes; Uyuni Saltpan (Salar de Uyuni) is the largest one, covering almost 3500 sq.miles.Also marked on the map above is Bolivia's most important lake, Lake Titicaca, located in the western part of the country along the border with Peru.Deep and cold, Lake Titicaca is at 3810 meters above sea level, being the highest lake in South America, is the highest commercially navigable body of water in the world.Salty Lake Poopo is the largest inland lake, varying greatly in size based on rainfall.Most of Bolivia's significant rivers (or rios) are located central and north. Countrywide, important ones included the Beni, Desaquadero, Guapore, Madre de Dios and Mamore.
"
"BIH
","Covering an area of 51, 129 sq. km, Bosnia and Herzegovina is located in the western part of the Balkan Peninsula, in the southeastern region of the European continent.As observed on the map, Bosnia and Herzegovina is a very hilly country, with the Dinaric Alps dominating the landscape. Situated near the country’s border with Montenegro is Mount Maglic – the country’s highest point, which rises to an elevation of 7,828ft (2,386m). Thick forests cover almost 50% of the country’s land. In the northern part of Bosnia along the Sava River valley is the Pannonian Plain - a hilly, fertile plain that stretches from east to west. The country has limited access to the Adriatic Sea through a small strip of land, about 12 miles (20km) widein the far-southwest. The significant rivers include Neretva, Sava, Vrbas, Drina, Una, and Bosna rivers.
"
"BWA
","Botswana is a Southern African country covering an area of 581,730 sq. km.The physical map of Botswana illustrates the country's physical characteristics. The country sits on a flat southern African plateau. The Kalahari Desert blankets the country to the center and southwest while in the north, the Okavango Delta provides a thriving oasis, with numerous salt lakes. The Makgadikgadi Pan is located in the middle of the dry savanna and additional landforms include savanna grasslands in the east and a dry scrub along the western border withNamibia.Significant rivers as marked on the map include the Limpopo, Okavango, and Shashe with the Molopo River creating a geographical border between South Africa and Botswana. Botswana's highest point is Tsodilo Hills at 1,489 m; the lowest point is a junction of the Limpopo and Shashe Rivers at 513 m.
"
"BRA
","Located in central-eastern part of South America and covering an area of 8.5 million sq.km (3,287,956 sq mi), Brazil is the world's 5th largest country as well as the largest country in South America and in the Southern Hemisphere. Brazil is divided into 5 primary geographic areas: the northern Guiana Highlands; Brazilian Highlands (or plateau) in central and east; the massive Amazon River Basin; the Pantanal wetland areas of the southwest; and the Southern Highlands - to the west and south of Curitiba.As observed on the physical map of Brazil above, the Brazilian Highlands are covered by low mountain ranges and forested river valleys. From Rio de Janeiro - north to Fortaleza, a series of higher mountain ranges form a natural barrier between the Atlantic Ocean and the country's interior. The Pantanal is the world's largest freshwater wetland, a seasonally flooded plain fed by the tributaries of many rivers. For size comparison, it's almost 10 times the size of the Florida Everglades. The Amazon is the world's largest tropical rainforest. It is drained by the huge Amazon River, and more than 200 of its tributaries - with more than a dozen of those tributaries being on (The Longest Rivers of the World) list. The Sao Francisco is the longest river completely within Brazil's borders. The Guiana Highlands, a relatively flat-topped mountainous area covered by rainforest, stretches across much of northern South America. It's home to many of the planet's most spectacular waterfalls, and Brazil's highest point : Pico da Neblina at 9,823ft (2,999m) (marked on the map by a yellow upright triangle). The lowest point is at the Atlantic Ocean.
"
"BRN
","Brunei is a small country that covers an area of 5,765 sq. km (2,226 sq mi) on the island of Borneo. It has a 161 km (100 mi) coastline along the South China Sea. It can be seen on the map above that Brunei is divided into two non-contiguous territories that are separated by the Malaysian State of Sarawak.As observed on the physical map of Brunei above, the country is mostly low-lying. The flat coastal plain of the country gradually slopes upwards to mountains in the east and undulating lowlands in the west.The highest point of the country is Bukit Pagon at 6,069 ft. (1,850 m) along the border with Malaysia in the eastern mountainous region. It has been marked on the map by a yellow upright triangle.Numerous rivers drain the land, including the Belait, Pandaruan, and Tutong. Subsequently, the coastal areas along the South China Sea are a wide swampy plain.The lowest point in Brunei is the South China Sea at 0 m.
"
"BGR
","Noted for its diversity, Bulgaria's landscape ranges from mountainous peaks covered in snow to valleys and lowlands giving way to the coast of theBlack Sea. The Balkan Mountains cut across the central part of the country, while the Rhodope Mountains run through southern Bulgaria, along its border with Greece. The highest point in the country, located in the Rila Mountains, is Musala Mt., at 9,594 ft. (2,925 m). Moving on north of the Balkan Mountains the fertile lowlands of the Danubian Plain slope gradually down to the Danube River. The south-eastern lowlands (Maritsa Basin), drained by a series of small rivers, slope to the Black Sea. Major rivers include the Danube River, as it forms the northern border with Romania, and the Iskur, Maritsa, Struma, Tundzha and Yantra rivers.
"
"BFA
","Burkina Faso is a West African landlocked country with an area of 274,200 sq. km.Burkina Faso is located on a massive plateau that is cut deeply by the three main rivers of Black Volta, White Volta, and Red Volta. As visible on the physical map above, these rivers enter Ghana to converge and form the Volta River.To the southwest of Burkina Faso is a sandstone plateau that is bordered by the Banfora Escarpment. As can be seen on the map, this region hosts the country's tallest point, the 747 m high Tena Kouron.The lowest point of the country is the Mouhoun (Black Volta) River at 656 ft. (200 m)As marked on the map, to the north there is a small expanse of desert.Out of all the rivers in Burkina Faso, the Black Volta is one of two that flows year-round, with the second being the Komoe. The Niger River basin drains 27% of the surface of the country. In addition to the rivers, Burkina Faso contains numerous lakes and large ponds; even still, water shortages are a consistent problem, especially in the north as most sources are seasonal.
"
"BDI
","As shown on the map, the small landlocked country of Burundi is located on the northeastern shoreline of Lake Tanganyika. It occupies an area of 27,834 sq. km in Central-East Africa.Burundi has a largely hilly and mountainous terrain with the wooded Mitumba Mountains in the west giving way to a plateau eastwards. As marked on the map, the highest point in Burundi is the 2,670 m high Mount Heha located in the western mountainous region. The country's lowest point is at 772 m in Lake Tanganyika. Estimated to be the second-largest freshwater lake in the world, Lake Tanganyika is divided amongst four different countries, including Burundi. Its waters flow into the Congo River, which leads to theAtlantic Ocean. Some major rivers like Kanyaru, Malagarasi, Ruvyironza, and Rurubu have been marked on the map above. Significant lakes include the Cohoha, Rwero, and of course, Lake Tanganyika.
"
"KHM
","Cambodia occupies an area of 181,035 sq. km in mainland Southeast Asia.As observed on the physical map above, Cambodia is primarily a low-lying country with the Central Plain occupying an extensive part of its area. The plain features the basin of the Tonle Sap Lake, the Bassac River plain, and the flood-plains of the lowest Mekong River.The Tonlé Sap Lake is a large lake that is connected to the Mekong River by the 120 km long Tonlé Sap River.Mountains and highlands are found around the Central Plain region. As observed on the map, the Cardamom Mountains are found to the west and southwest, Dangret Mountains and the Eastern Highlands occur to the north and northeast respectively.Cambodia also features a 443 km long coast along the Gulf of Thailand to the south and south-west. Over 50 islands are located off the coast of Cambodia.The highest point in Cambodia (marked by a yellow upright triangle on the map) is the 1,810 m (5,938 ft) high Phnom Aural. The Gulf of Cambodia is the lowest point at 0 m.
"
"CMR
","Cameroon is a Central African country covering an area of 475,442 sq. km.Cameroon is sometimes called ""Africa in miniature"" as it features a variety of geographical regions like mountains, desert, savanna, rainforest, and coastal plains.The physical map above illustrates the country of Cameroon, from the low and marshy coastal area in the south to shores of Lake Chad in the extreme north.The densely forested coastal plain of the country stretching inland from the Gulf of Guinea is around 20 to 80 km wide. From there the elevation of the land rises to around 500 to 600 m in the central Mbang Mountains. The region is covered by dense tropical rainforest. To the north of Benoue National Park, the land slopes into a savanna plain that extends to the shores of Lake Chad. In the far southwest, on the edge of the Gulf of Guinea, Cameroon is mountainous. As marked on the map, this region has the active volcano of Mt Cameroon, which at  4,070m is the highest point in West Africa.Significant rivers include the Dja, Nyong, and Sanaga. Cameroon's lowest point is the Atlantic Ocean (0 m).
"
