wb_name,wb_code,wb_income,wb_region,unit,year,id,totwealth,pk,nk,renew,for_tim,for_notim,mangroves,fisheries,pa,land,cropland,pasture,subsoil,ene,oil,gas,coal,min,hc,hc_m,hc_emp_m,hc_self_m,hc_f,hc_emp_f,hc_self_f,nfa,pop
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2007,ABW.2007,..,13236400020,10999094.19,10999094.19,524635.6357,829333.3424,0,9645125.207,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3612444735,101222
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2008,ABW.2008,..,13836717418,10553103.58,10553103.58,568168.0877,913457.8704,0,9071477.62,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3845581365,101358
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2009,ABW.2009,..,14438471093,9340352.311,9340352.311,593781.989,849598.8811,0,7896971.441,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3453632141,101455
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2010,ABW.2010,..,14833077992,5607570.967,5607570.967,782339.4035,811226.2743,0,4014005.289,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3691605726,101669
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2011,ABW.2011,..,15115213108,7600706.598,7600706.598,886394.6208,811226.3575,0,5903085.619,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3923172010,102046
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2012,ABW.2012,..,15387185737,7516825.506,7516825.506,987777.3303,841048.0707,0,5688000.106,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-2645224335,102560
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2013,ABW.2013,..,15584291340,8022535.712,8022535.712,1140204.794,850544.4698,0,6031786.448,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3049666303,103159
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2014,ABW.2014,..,15757609761,9823554.42,9823554.42,1395393.417,857796.232,0,7570364.771,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3121193020,103774
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2015,ABW.2015,..,15895043621,4969471.096,4969471.096,1419406.744,835255.7333,0,2714808.62,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3140700586,104341
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2016,ABW.2016,..,16028520639,5310176.932,5310176.932,1603887.493,849472.5663,0,2856816.873,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-3046416805,104872
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2017,ABW.2017,..,16151808075,5412509.825,5412509.825,1725408.895,849329.5029,0,2837771.427,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-2928929783,105366
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2018,ABW.2018,..,16409033569,7070230.421,7070230.421,1698316.276,2534142.718,0,2837771.427,0,0,0,0,0,0,0,..,0,0,..,..,..,..,..,..,..,-3184120000,105845
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,1995,AFG.1995,..,..,25508393243,25398817281,373492368.8,2690773573,0,0,75005807.34,22259545531,12685542001,9574003530,109575961.9,109575961.9,56990597.87,42949021.18,9636342.861,0,..,..,..,..,..,..,..,..,18110657
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,1996,AFG.1996,..,..,26474651976,26367583879,361394622,2699405867,0,0,79942231.91,23226841158,13022735134,10204106024,107068097.6,107068097.6,52831016.96,52384377.56,1852703.052,0,..,..,..,..,..,..,..,..,18853437
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,1997,AFG.1997,..,..,27817103775,27711155729,359997905,2732944905,0,0,85559831.66,24532653087,13611496986,10921156101,105948045.9,105948045.9,42997619.91,61566300.56,1384125.384,0,..,..,..,..,..,..,..,-36010513482,19357126
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,1998,AFG.1998,..,..,29542338455,29433257158,345464552.7,2852230280,0,0,92078511.57,26143483814,14390260615,11753223199,109081296.7,109081296.7,38462205.67,69477998.74,1141092.257,0,..,..,..,..,..,..,..,-34180390440,19737765
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,1999,AFG.1999,..,..,31587735550,31471199611,339708384.8,3017249413,0,0,98290081.59,28015951731,15469862014,12546089717,116535939.6,116535939.6,34265375.75,81403783.14,866780.7294,0,..,..,..,..,..,..,..,-32350267398,20170844
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2000,AFG.2000,..,..,32860699383,32723621149,324829371.6,3036830237,0,0,97754976.33,29264206564,16786419554,12477787011,137078234.5,137078234.5,32007126.67,104563207.4,507900.4378,0,..,..,..,..,..,..,..,-30520144356,20779953
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2001,AFG.2001,..,..,32303438902,32149197345,321600968.4,3072173000,0,0,94315590.41,28661107786,16856553371,11804554415,154241556.6,154241556.6,26191268.88,125699888.9,2350398.769,0,..,..,..,..,..,..,..,-28690021314,21606988
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2002,AFG.2002,..,..,30954116802,30779494553,381214026.4,1963265058,0,0,98463501.75,28336551967,16248029564,12088522403,174622249.6,174622249.6,21756875.65,149109124.6,3756249.413,0,44061092981,40446135289,28260206396,12185928893,3614957692,2525814883,1089142809,-26859898272,22600770
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2003,AFG.2003,..,..,33992806730,33817635874,411685992.9,1981722040,0,0,110069606.4,31314158234,18053796051,13260362183,175170855.9,175170855.9,27932916.11,140603586,6634353.797,0,47527231873,43654381521,31736729008,11917652513,3872850353,2815561642,1057288710,-26162174498,23680871
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2004,AFG.2004,..,..,37497061689,37333614383,390435266.2,1992974646,0,0,120969884.3,34829234587,20523584588,14305649999,163447305.7,163447305.7,24857233.03,125651752.2,12938320.45,0,46199545608,42444372634,31419650478,11024722156,3755172974,2779784810,975388163.8,-22661554301,24726684
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2005,AFG.2005,..,..,39685728599,39547789633,377570962.7,1994940285,0,0,135958383.4,37039320002,21251380370,15787939633,137938965.6,137938965.6,20302742.66,100150501,17485721.96,0,50718684679,46589611348,34487344491,12102266856,4129073331,3056492001,1072581331,-10928321915,25654277
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2006,AFG.2006,..,..,43337994681,43232274964,389643102.9,2001153436,0,0,146497512.3,40694980913,23984829869,16710151045,105719717.1,105719717.1,19611304.87,65860460.95,20247951.25,0,51788862032,47533196283,35410886429,12122309854,4255665749,3170350582,1085315167,-266883838,26433049
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2007,AFG.2007,..,..,41591517946,41487168777,328258817.1,1991783531,0,0,145243897.1,39021882531,22743350795,16278531737,104349168.9,104349168.9,16649987.58,32149053.89,55550127.41,0,59196243039,54287488319,40481790750,13805697569,4908754720,3660423195,1248331525,-955239422.2,27100536
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2008,AFG.2008,..,..,39555275014,39342301264,301606747.3,1956179292,0,0,134696926.7,36949818298,22111862622,14837955676,212973749.9,212973749.9,15189654.43,32944601.36,164839494.1,0,69242818297,57851529460,43773201031,14078328429,11391288837,8619187443,2772101394,-300458158.3,27722276
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2009,AFG.2009,..,..,35704402465,35427230568,307360552.7,2006188907,0,0,131565490.6,32982115617,18733102897,14249012720,277171897.4,277171897.4,12330746,33952560.59,230888590.8,0,84535888430,70546747246,53628401515,16918345731,13989141184,10634300086,3354841099,838899754.6,28394813
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2010,AFG.2010,..,..,35025786691,34602825858,344290633.1,2083669599,0,0,137019599.2,32037846027,17443824451,14594021576,422960832.8,422960832.8,10357931.51,49144751.18,363458150.1,0,96432489553,80428484927,60607280907,19821204020,16004004626,12059896501,3944108124,1431632350,29185507
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2011,AFG.2011,..,..,36000245963,35214726879,350855316.5,2092592677,0,0,149324908.5,32621953977,16976321807,15645632170,785519084,785519084,9080380.391,80118058.82,696320644.8,0,97662861086,81556343951,60558590985,20997752965,16106517135,11959682548,4146834588,2362013340,30117413
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2012,AFG.2012,..,..,35929789926,34916622746,360491013.5,2141186201,0,0,162089652,32252855880,15541952434,16710903446,1013167179,1013167179,36810479.69,114883758.1,861472941.6,0,1.1E+11,92104590948,68185373218,23919217730,18052740527,13364511343,4688229184,3175701857,31161376
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2013,AFG.2013,..,..,37502660835,36379807334,369473448.9,2159370597,0,0,173058606.6,33677904682,16117554410,17560350271,1122853501,1118290826,42641258.86,141024851.1,934624716,4562674.714,1.17E+11,98229848884,73123065053,25106783831,19080932729,14203995029,4876937700,3566952350,32269589
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2014,AFG.2014,..,..,37434222546,36203743193,386137002.5,2131301056,0,0,175010054.8,33511295080,16028681306,17482613774,1230479353,1225159066,37108972.35,139476457.5,1048573636,5320286.898,1.21E+11,1.02E+11,76598764300,25077020057,19688574648,14832641798,4855932850,3971188135,33370794
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2015,AFG.2015,..,..,38159952639,36940898847,387230991.5,2114709027,0,0,106964557.1,34331994271,16777712702,17554281569,1219053792,1214139984,36525106.48,122586953.6,1055027924,4913808.574,1.25E+11,1.05E+11,79601846295,24917331405,20232539821,15409110179,4823429642,3754668782,34413603
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2016,AFG.2016,..,..,38399217528,37345659217,416287810.6,2077537996,0,0,39055324.35,34812778086,16866208678,17946569408,1053558310,1048504791,34909594.13,87897959.98,925697236.8,5053519.172,1.29E+11,1.08E+11,82334932774,25649151426,20982042066,15998237479,4983804587,4272464924,35383128
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2017,AFG.2017,..,..,39414670380,38286479700,425673748,2073389438,0,0,42225018.28,35745191495,17214348379,18530843117,1128190680,1123047553,3352719.891,49361940.94,1070332893,5143126.711,1.31E+11,1.1E+11,83721818559,26308876892,21327176675,16227744528,5099432148,4601318257,36296400
Afghanistan,AFG,Low income,South Asia,constant year 2018 USD,2018,AFG.2018,..,..,40499640713,39156278210,411606725.5,2077860267,0,0,43611342.5,36623199876,17483955443,19139244433,1343362503,1338486433,2992078.591,19787914.38,1315706440,4876069.529,1.34E+11,1.13E+11,85798171318,26961353273,21714085485,16522141550,5191943934,5306650000,37172386
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,1995,AGO.1995,..,2.57E+11,2.25E+11,1.41E+11,13245049255,82453385103,56447118.16,0,1851448882,43497770235,31992131113,11505639122,84294000848,84294000848,83905350562,388650285.8,0,0,..,..,..,..,..,..,..,-68123522326,13945206
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,1996,AGO.1996,..,2.81E+11,2.54E+11,1.49E+11,14850486628,86887333531,67570206.76,0,1961917181,45465981344,33273848315,12192133028,1.05E+11,1.05E+11,1.05E+11,427900758.1,0,0,..,..,..,..,..,..,..,-39775231487,14400719
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,1997,AGO.1997,..,2.92E+11,2.64E+11,1.5E+11,15958509836,82802324640,78693295.36,0,2129266327,49169312263,35937205132,13232107131,1.14E+11,1.14E+11,1.13E+11,475547236.7,0,0,..,..,..,..,..,..,..,-43770805938,14871570
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,1998,AGO.1998,..,3.14E+11,2.65E+11,1.55E+11,17745442070,82954733599,89816408.46,0,2376717750,52312574518,37542705909,14769868609,1.09E+11,1.09E+11,1.09E+11,485569778.5,0,0,..,..,..,..,..,..,..,-61626660629,15359601
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,1999,AGO.1999,..,3.26E+11,2.99E+11,1.6E+11,18130737116,83315193636,100939497.1,0,2534310715,55739153684,39989939766,15749213918,1.4E+11,1.4E+11,1.39E+11,540711872.7,0,0,..,..,..,..,..,..,..,-76455713824,15866869
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2000,AGO.2000,..,3.22E+11,3.39E+11,1.55E+11,16709126447,82503958987,112062585.7,0,2554834056,53505376932,37628622817,15876754115,1.84E+11,1.84E+11,1.83E+11,695210781.1,0,0,..,..,..,..,..,..,..,-49250847031,16395473
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2001,AGO.2001,..,3.17E+11,3.57E+11,1.58E+11,16107624712,82839104599,123185674.3,0,2637127738,56109317977,39722837503,16386480473,1.99E+11,1.99E+11,1.98E+11,927546245,0,0,..,..,..,..,..,..,..,-58713046441,16945753
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2002,AGO.2002,..,3.14E+11,3.68E+11,1.56E+11,15032081597,82996352252,134308787.4,0,2481244917,55141442003,39725159764,15416282239,2.12E+11,2.12E+11,2.11E+11,1033063195,0,0,..,..,..,..,..,..,..,-41693520976,17519417
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2003,AGO.2003,..,3.13E+11,3.82E+11,1.52E+11,13503432436,82171988628,145431876,3632613139,2151602604,50401124859,37034320720,13366804138,2.3E+11,2.3E+11,2.29E+11,1178084622,0,0,..,..,..,..,..,..,..,-42993953667,18121479
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2004,AGO.2004,..,3.17E+11,3.74E+11,1.44E+11,11482972792,83171189463,156554964.6,1671538089,1803256190,45330000722,34128441884,11201558837,2.3E+11,2.3E+11,2.29E+11,1258996492,0,0,..,..,..,..,..,..,..,-35188737683,18758145
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2005,AGO.2005,..,3.24E+11,3.58E+11,1.44E+11,10297688152,86333677701,167678077.7,1822698034,1607418098,43673197172,33689178132,9984019040,2.14E+11,2.14E+11,2.13E+11,1263464070,0,0,..,..,..,..,..,..,..,-17553463694,19433602
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2006,AGO.2006,..,3.34E+11,3.76E+11,1.4E+11,8899116075,88410103879,178801166.3,2566562391,1325945751,38598432119,30363541761,8234890358,2.36E+11,2.36E+11,2.34E+11,1176826711,0,0,..,..,..,..,..,..,..,-1153866767,20149901
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2007,AGO.2007,..,3.46E+11,4E+11,1.4E+11,8253057139,91871724534,189924254.9,2985324311,1178745040,35268036792,27948097710,7319939081,2.61E+11,2.61E+11,2.59E+11,1264152026,0,0,..,..,..,..,..,..,..,9063207607,20905363
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2008,AGO.2008,..,3.67E+11,4.52E+11,1.41E+11,7312313502,93945642500,201047343.5,3754053604,1063876812,34382553412,27776615927,6605937485,3.12E+11,3.12E+11,3.1E+11,1341125402,0,0,..,..,..,..,..,..,..,12278277046,21695634
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2009,AGO.2009,..,3.91E+11,4.82E+11,1.41E+11,7526057666,94994874003,212170456.6,2733934452,1040541502,34157080462,27696700598,6460379864,3.41E+11,3.41E+11,3.4E+11,1379215947,0,0,..,..,..,..,..,..,..,-26842300145,22514281
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2010,AGO.2010,..,4.1E+11,4.99E+11,1.47E+11,7733594385,96372971216,223293545.2,2596577172,1052624468,38795875395,32261145428,6534729968,3.52E+11,3.52E+11,3.51E+11,1534732724,0,0,..,..,..,..,..,..,..,-18806110004,23356246
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2011,AGO.2011,..,4.32E+11,5.43E+11,1.51E+11,7917447959,97434298019,273159723.3,2761297802,1081741375,41963137953,35248336628,6714801326,3.91E+11,3.91E+11,3.9E+11,1801757624,0,0,..,..,..,..,..,..,..,-18478368987,24220661
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2012,AGO.2012,..,4.56E+11,5.36E+11,1.61E+11,8001194862,1.01E+11,323025926,2806601387,1086351456,47683381594,40940653869,6742727725,3.76E+11,3.76E+11,3.74E+11,1987842694,0,0,..,..,..,..,..,..,..,-12501607680,25107931
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2013,AGO.2013,..,4.81E+11,5.02E+11,1.61E+11,7949592186,1.04E+11,372892104.1,2709632475,1105002516,45180264154,38322475609,6857788544,3.41E+11,3.41E+11,3.39E+11,2293917433,0,0,..,..,..,..,..,..,..,-9124627264,26015780
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2014,AGO.2014,..,5.06E+11,4.9E+11,1.61E+11,7715843276,1.02E+11,422758306.8,2667808255,1088846122,46824542170,40067713816,6756828354,3.29E+11,3.29E+11,3.26E+11,2417428828,0,0,..,..,..,..,..,..,..,-6757742868,26941779
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2015,AGO.2015,..,5.31E+11,4.55E+11,1.6E+11,8288324653,1.05E+11,472624485,2191621850,1105901801,43241156053,36373569308,6867586745,2.96E+11,2.96E+11,2.93E+11,2367149355,0,0,..,..,..,..,..,..,..,-16932002608,27884381
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2016,AGO.2016,..,5.52E+11,4.04E+11,1.56E+11,9302378839,1.02E+11,522490663.1,2525823962,1145557028,41085801982,33966855364,7118946618,2.48E+11,2.48E+11,2.45E+11,2287515921,0,0,..,..,..,..,..,..,..,-28603940574,28842484
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2017,AGO.2017,..,5.75E+11,3.54E+11,1.55E+11,9879441632,1.01E+11,572356865.8,2739055227,1143585547,39884661448,32779420961,7105240487,1.98E+11,1.98E+11,1.95E+11,3212940248,0,0,..,..,..,..,..,..,..,-31894443255,29816748
Angola,AGO,Lower middle income,Sub-Saharan Africa,constant year 2018 USD,2018,AGO.2018,..,5.73E+11,3.56E+11,1.5E+11,10119788815,99931791116,622223043.9,2228206065,1141545637,36176403841,29083837747,7092566094,2.06E+11,2.06E+11,2E+11,6052212928,0,0,..,..,..,..,..,..,..,-32826430000,30809762
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,1995,ALB.1995,1.16E+11,49499963823,21404853647,18477467857,2343356872,1771161008,0,13675370.13,26072789.31,14323201818,6894469407,7428732411,2927385790,2753979279,2584787089,108663241.8,60528948.7,173406510.5,44861001530,29263154414,20745879059,8517275355,15597847116,11057968846,4539878270,-237069903.2,3187784
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,1996,ALB.1996,1.14E+11,50161444853,20342887220,18124438972,1589950637,1786904414,0,30651342.47,29789904.28,14687142674,6933081728,7754060946,2218448248,2119611197,2041925750,61869463.43,15815983.2,98837051.34,43430547992,28420861714,20128847780,8292013934,15009686278,10630490144,4379196135,-138784538.4,3168033
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,1997,ALB.1997,1.04E+11,49972131103,17353402795,15719257355,313466502.8,1688891121,0,10670440.85,104452804.4,13601776487,6249419912,7352356575,1634145439,1578662655,1550770359,25764636.08,2127659.635,55482784.29,37131131819,24351250107,17210681107,7140569000,12779881712,9032409744,3747471969,-420919237.4,3148281
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,1998,ALB.1998,1.03E+11,49857020714,14913597354,13588147348,238974866.3,1733504853,0,20216640.51,87483896.68,11507967091,4872919691,6635047401,1325450006,1303414969,1282047375,19509122.03,1858471.632,22035037.12,38792147742,25679087302,18461682096,7217405206,13113060440,9427482773,3685577668,-453107835.3,3128530
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,1999,ALB.1999,1.07E+11,50095331330,15004961936,13890458876,208902471.6,1988538726,0,28087737.05,92107300.03,11572822642,4805203732,6767618910,1114503060,1094912987,1077626368,15733151.82,1553466.67,19590073.68,42196257452,28091818547,20184457407,7907361140,14104438905,10134283256,3970155649,-372372658.5,3108778
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2000,ALB.2000,1.09E+11,50935515727,15230058874,14074729467,202926227.4,2235093951,0,42440242.2,93634601.07,11500634446,4593668315,6906966131,1155329407,1155329407,1134866312,19447952.65,1015142.386,0,43611277219,29108077485,21227852636,7880224848,14503199734,10576850597,3926349137,-997312771.5,3089027
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2001,ALB.2001,1.15E+11,52236489242,15529516470,14448605058,183336496.6,2288650809,0,29691558.81,51636121.05,11895290072,4514086484,7381203588,1080911412,1080911412,1058199324,21593697.77,1118390.229,0,47629933713,31809218526,23281094708,8528123818,15820715187,11579145471,4241569717,-869703045.9,3060173
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2002,ALB.2002,1.17E+11,53595781642,15599772985,14562327707,156780751.5,2313659241,0,42288932.27,61031459.36,11988567323,4282604064,7705963260,1037445278,1037445278,1008057878,28225776.53,1161622.876,0,48529940024,32362940952,23860096291,8502844661,16166999071,11919378871,4247620201,-913053163.1,3051010
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2003,ALB.2003,1.22E+11,55112827013,15800960884,14561592980,148778129.8,2322320886,0,27136415.59,69678219.01,11993679330,4060639177,7933040153,1239367904,1239367904,1207177356,30768508.35,1422039.405,0,52074804529,43780330106,32344748509,11435581597,8294474423,6127927509,2166546914,-1407806530,3039616
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2004,ALB.2004,1.24E+11,56961189793,15858949015,14432442853,146187003.2,2403674373,0,43385848.68,76817337.47,11762378291,3920778226,7841600065,1426506162,1409083006,1367849984,36560751.06,4672270.842,17423155.87,52251375959,43899944346,33204507818,10695436528,8351431613,6316754620,2034676993,-1029536816,3026939
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2005,ALB.2005,1.28E+11,59043350651,15723864134,14201071075,123916204.7,2462325855,0,36874189.37,85224793.7,11492730033,3820596691,7672133342,1522793059,1491577030,1450338896,35244453.03,5993681,31216028.56,54424482556,45731114792,35202325048,10528789744,8693367764,6691871808,2001495957,-1626891160,3011487
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2006,ALB.2006,1.32E+11,61387958882,15690558469,13747355223,126898463.8,2248420081,0,16913215.18,95492587.73,11259630875,3814813530,7444817345,1943203246,1807215073,1770503185,29829194.19,6882693.743,135988172.9,56861772240,47809191560,36713991953,11095199606,9052580681,6951725462,2100855219,-1625642551,2992547
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2007,ALB.2007,1.38E+11,63865551148,16643547455,13783051042,139732164,2477342035,0,164642.834,117135413.5,11048676787,3863886324,7184790463,2860496413,2074704601,2031583387,34304962.97,8816250.765,785791811.8,59397609546,49981669937,38865705456,11115964480,9415939610,7321826900,2094112709,-2232557416,2970017
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2008,ALB.2008,1.43E+11,66465189245,16622542899,13592234460,152690455.4,2583252555,0,0,234576541.6,10621714909,3825094738,6796620171,3030308439,2402988249,2353596018,33303946.66,16088284.6,627320189.5,63436725070,53434246265,41946254961,11487991304,10002478805,7852015430,2150463374,-3070640888,2947314
Albania,ALB,Upper middle income,Europe & Central Asia,constant year 2018 USD,2009,ALB.2009,1.48E+11,69005977900,16994619338,14029611771,172515756.8,2830278479,0,0,262877199.3,10763940336,3951162499,6812777837,2965007567,2422217372,2369657789,39387299.47,13172283.76,542790194.5,66109242012,55777604480,44654009166,11123595314,10331637532,8271223574,2060413958,-4164786239,2927519
